TRANSACTION_ID,SUPPLIER_PARENT_NAME,SUPPERLIER_NAME,MATERIAL_DESCRIPTION,GL_ACCOUNT_DESCRIPTION,INVOICE_DESCRIPTION,MCC_DESCRIPTION,PO_DESCRIPTION,AMOUNT
TRANS937663,PARENT_SUPPLIER_495280,SUPPLIER_495280,,TRAVEL AND ENTERTAINMENT EXP  MAN- DEDUCTIBLE,,,Venue - Planning session," 3,063.53 "
TRANS503224,PARENT_SUPPLIER_218529,SUPPLIER_218529,,PPV - FREIGHT AND MISCEXP OVERHEAD ACTUAL,,,, 15.27 
TRANS984469,PARENT_SUPPLIER_260732,SUPPLIER_260732,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,1148558 - INSERTS/RCVR WASHERS --, 637.55 
TRANS544197,PARENT_SUPPLIER_478379,SUPPLIER_478379,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 116656,,SERVICE, -94.44 
TRANS623107,PARENT_SUPPLIER_637991,SUPPLIER_637991,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 836-1,,KNEE STAINLESS STEEL 304 THREAD BSP, 27.45 
TRANS165825,PARENT_SUPPLIER_512457,SUPPLIER_512457,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 836-1,,HAVE SCREW 304 STAINLESS STEEL 150 BSP, 33.04 
TRANS513486,PARENT_SUPPLIER_391616,SUPPLIER_391616,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 840-1,,RJ0001526  PERFIL L IGL A304 1.1/2X1.1/2, 439.24 
TRANS633766,PARENT_SUPPLIER_812454,SUPPLIER_812454,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 835-1,,RJ0000969  BARRA REDONDA INOX ANSI 304 D, 36.15 
TRANS420869,PARENT_SUPPLIER_846243,SUPPLIER_846243,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 1702,,Provision of services Engenews, -132.69 
TRANS696621,PARENT_SUPPLIER_471148,SUPPLIER_471148,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 1702,,Provision of services Engenews, -39.81 
TRANS417561,PARENT_SUPPLIER_940325,SUPPLIER_940325,,INFO SYS EXP - CONTRACTUAL MAINT- HARDWARE,Fatura brut. 181,,Reparo do balaste do projetor, 149.97 
TRANS280475,PARENT_SUPPLIER_916023,SUPPLIER_916023,,CRO - PROJECT MONITORING/ MANAGEMENT,ADC-US-PMS-17168-001 Site compensation,,," 11,390.00 "
TRANS707889,PARENT_SUPPLIER_145176,SUPPLIER_145176,,INTERNAL MATERIAL CONSUMPTION,,,FPC Fab and Assembly, 650.42 
TRANS802634,PARENT_SUPPLIER_604297,SUPPLIER_604297,,INTERNAL MATERIAL CONSUMPTION,,,SERVICE," 6,780.75 "
TRANS558855,PARENT_SUPPLIER_916505,SUPPLIER_916505,,INTERNAL MATERIAL CONSUMPTION,,,SERVICE," 2,864.48 "
TRANS480194,PARENT_SUPPLIER_637213,SUPPLIER_637213,,ACCRUED  USE TAX,,,, -3.35 
TRANS424460,PARENT_SUPPLIER_724113,SUPPLIER_724113,,ACCRUED  USE TAX,,,, -8.38 
TRANS993259,PARENT_SUPPLIER_808765,SUPPLIER_808765,,ACCRUED  USE TAX,,,, -38.57 
TRANS450331,PARENT_SUPPLIER_605690,SUPPLIER_605690,,MATERIALS AND SUPPLIES - OPERATIONS,,,4 RGBW-LED Light, 290.94 
TRANS897546,PARENT_SUPPLIER_193772,SUPPLIER_193772,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,4 RGBW-LED Light," 1,441.85 "
TRANS155210,PARENT_SUPPLIER_231580,SUPPLIER_231580,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,"N1170177   RING, GEA HOMOGENIZER - HOMO"," 9,643.80 "
TRANS308342,PARENT_SUPPLIER_180339,SUPPLIER_180339,,PROFESSIONAL SERVICES - LEGAL,LEGAL#1502263,,," 5,936.29 "
TRANS571935,PARENT_SUPPLIER_887813,SUPPLIER_887813,,PROFESSIONAL SERVICES - LEGAL,LEGAL#1502271,,," 5,360.86 "
TRANS174634,PARENT_SUPPLIER_279814,SUPPLIER_279814,,ACCRUED  USE TAX,,,IN Spec RP-4 Calibration Service, -11.35 
TRANS120842,PARENT_SUPPLIER_967812,SUPPLIER_967812,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VINYL - RTA (HXW) STANDARD, 196.00 
TRANS402528,PARENT_SUPPLIER_983905,SUPPLIER_983905,,PROFESSIONAL SERVICES - LEGAL,LEGAL#1494937,,, 750.00 
TRANS836412,PARENT_SUPPLIER_329656,SUPPLIER_329656,,OTHER OUTSIDE SERVICES,,,Painting Projects - Courage Building," 5,304.00 "
TRANS242582,PARENT_SUPPLIER_142643,SUPPLIER_142643,,OTHER OUTSIDE SERVICES,Case 2019-1836 / 315-2019,,, 462.28 
TRANS805788,PARENT_SUPPLIER_330920,SUPPLIER_330920,,ACCRUED  USE TAX,,,, -29.90 
TRANS765691,PARENT_SUPPLIER_250173,SUPPLIER_250173,,ACCRUED  USE TAX,,,DAT PO 2019, -0.22 
TRANS613882,PARENT_SUPPLIER_630222,SUPPLIER_630222,,SHIPPING AND HANDLING,,,DAT PO 2019, 207.80 
TRANS331128,PARENT_SUPPLIER_217663,SUPPLIER_217663,,ACCRUED  USE TAX,,,, -0.99 
TRANS695545,PARENT_SUPPLIER_332007,SUPPLIER_332007,,INTERCOMPANY - ACCTS RECEIVABLE,,,," 7,622.56 "
TRANS944200,PARENT_SUPPLIER_477544,SUPPLIER_477544,,INTERCOMPANY - ACCTS RECEIVABLE,,,, 997.50 
TRANS246005,PARENT_SUPPLIER_979669,SUPPLIER_979669,,INTERCOMPANY - ACCTS RECEIVABLE,,,, 480.00 
TRANS588699,PARENT_SUPPLIER_431013,SUPPLIER_431013,,COMPANY SPONSORED EMPLOYEE ACTIVITIES,,,Support for ARD Benchmarking Visit," 1,463.92 "
TRANS977415,PARENT_SUPPLIER_803066,SUPPLIER_803066,,VAT RECEIVABLE - AUTOPOST,,,9380961709 SICK 1028227 COLOUR SENSOR 4, 62.56 
TRANS190300,PARENT_SUPPLIER_976325,SUPPLIER_976325,,INPUT VAT TAX DEFERRED AUTO,,,ozonator§í, 557.84 
TRANS234521,PARENT_SUPPLIER_459005,SUPPLIER_459005,,MATERIALS AND SUPPLIES - MISCELLANEOUS,Sch.V014334 Ozonator Ozone Blaster 7G,,ozonator§í," 2,789.20 "
TRANS182304,PARENT_SUPPLIER_520033,SUPPLIER_520033,,INPUT VAT TAX DEFERRED AUTO,,,Pallets of bottling," 1,313.47 "
TRANS434984,PARENT_SUPPLIER_298755,SUPPLIER_298755,,OTHER OPERATING EXPENSE,food for sch.7900ot15.11.19,,Food, 104.70 
TRANS801617,PARENT_SUPPLIER_757529,SUPPLIER_757529,,OTHER OPERATING EXPENSE,food for sch.7900ot15.11.19,,Food, 516.52 
TRANS429791,PARENT_SUPPLIER_635571,SUPPLIER_635571,,INPUT VAT TAX DEFERRED AUTO,,,," 3,847.46 "
TRANS344362,PARENT_SUPPLIER_274032,SUPPLIER_274032,,PROJECT SETTLEMENT TO ASSETS,Barcode Verifier,,Offline verifiers," 9,618.64 "
TRANS533164,PARENT_SUPPLIER_223156,SUPPLIER_223156,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,BELLIT041 Batteries SECURITY FORCE 12, 25.30 
TRANS506584,PARENT_SUPPLIER_425318,SUPPLIER_425318,,MAINTENANCE CLEARING,,,BELLZ00007 Marley MEDITSINSKAYA ART. 6498 3, -0.42 
TRANS398282,PARENT_SUPPLIER_116500,SUPPLIER_116500,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,BELLZ00007 Marley MEDITSINSKAYA ART. 6498 3," 1,491.61 "
TRANS492460,PARENT_SUPPLIER_579413,SUPPLIER_579413,,INPUT VAT TAX DEFERRED AUTO,,,Shelves, 475.24 
TRANS265781,PARENT_SUPPLIER_387037,SUPPLIER_387037,,MATERIALS AND SUPPLIES - SPARE PARTS,sch.1016ot26.09.19 frame by Carrier,,Shelves," 2,376.20 "
TRANS475800,PARENT_SUPPLIER_106616,SUPPLIER_106616,,INPUT VAT TAX DEFERRED AUTO,,,VORMAK538 Electrodes, 21.60 
TRANS239037,PARENT_SUPPLIER_786135,SUPPLIER_786135,,OTHER OUTSIDE SERVICES,Cq. ¡í507 services disinfestation and disinfestation,,Services and exterminating Disinsection, 819.30 
TRANS741426,PARENT_SUPPLIER_842169,SUPPLIER_842169,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations," 1,165.85 "
TRANS903478,PARENT_SUPPLIER_669160,SUPPLIER_669160,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations, 777.23 
TRANS900847,PARENT_SUPPLIER_978872,SUPPLIER_978872,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations," 1,263.00 "
TRANS460956,PARENT_SUPPLIER_901052,SUPPLIER_901052,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations, 971.54 
TRANS436264,PARENT_SUPPLIER_797880,SUPPLIER_797880,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations, 874.39 
TRANS407915,PARENT_SUPPLIER_824771,SUPPLIER_824771,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations, 971.54 
TRANS548990,PARENT_SUPPLIER_700405,SUPPLIER_700405,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations," 1,360.16 "
TRANS599929,PARENT_SUPPLIER_826723,SUPPLIER_826723,,PROMOTION EXPENSE - HONORARIUMS / GRANTS,,,IDF South Korea Grant Agreement," 10,180.36 "
TRANS333388,PARENT_SUPPLIER_844111,SUPPLIER_844111,,PROMOTION EXPENSE - HONORARIUMS / GRANTS,SPONSORSHIP,,, 363.95 
TRANS642957,PARENT_SUPPLIER_371883,SUPPLIER_371883,,VAT RECEIVABLE - AUTOPOST,,,"Stand Space Practice Workshop, Leicester", 95.44 
TRANS485361,PARENT_SUPPLIER_948441,SUPPLIER_948441,,VAT RECEIVABLE - AUTOPOST,,,"Stand Space, Practical Workshop", 95.44 
TRANS108675,PARENT_SUPPLIER_845189,SUPPLIER_845189,,VAT RECEIVABLE - AUTOPOST,,,, 64.90 
TRANS178994,PARENT_SUPPLIER_942171,SUPPLIER_942171,CARESTART MALARIA PAN/PF PK30,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,20442,,CARESTART MALARIA PAN/PF PK30, 309.23 
TRANS639899,PARENT_SUPPLIER_505144,SUPPLIER_505144,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,8059186 REV A -- 1ST SHOT RCVR/NEST," 1,165.37 "
TRANS326524,PARENT_SUPPLIER_345367,SUPPLIER_345367,,ADVERTISING - OTHER,Fatura brut. 632350-11,,AN - TRADE MKT, 254.19 
TRANS814438,PARENT_SUPPLIER_656962,SUPPLIER_656962,,MAINTENANCE SERVICES PURCHASED,Fatura brut. 3324,,ADD-service air conditioning repair, 221.15 
TRANS139574,PARENT_SUPPLIER_132834,SUPPLIER_132834,,MATERIALS AND SUPPLIES - OPERATIONS,Fatura brut. 116656,,SERVICE," 2,030.98 "
TRANS326075,PARENT_SUPPLIER_237879,SUPPLIER_237879,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 161275,,Hosp water-ADD-analysis. Metropolitan, -4.37 
TRANS298772,PARENT_SUPPLIER_802094,SUPPLIER_802094,,PROFESSIONAL SERVICES - OTHER CONSULTING,Fatura brut. 161275,,Hosp water-ADD-analysis. Metropolitan, 93.92 
TRANS547989,PARENT_SUPPLIER_409897,SUPPLIER_409897,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 839-1,,TUBO ACO INOX E CANTONEIRA ACO INOX, 207.42 
TRANS981612,PARENT_SUPPLIER_788538,SUPPLIER_788538,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 839-1,,TUBO ACO INOX E CANTONEIRA ACO INOX, 74.73 
TRANS773045,PARENT_SUPPLIER_162457,SUPPLIER_162457,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 836-1,,UNION STEEL INOS 304 THREAD BSP, 51.85 
TRANS717130,PARENT_SUPPLIER_517483,SUPPLIER_517483,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 836-1,,Nipple 304 STAINLESS STEEL THREAD BSP, 55.92 
TRANS709756,PARENT_SUPPLIER_376400,SUPPLIER_376400,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,Fatura brut. 834-1,,"RJ0002165  CHAPA LIS AI304 1,50MM 2000X1", 634.95 
TRANS282615,PARENT_SUPPLIER_304794,SUPPLIER_304794,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 1702,,Provision of services Engenews, -123.40 
TRANS166236,PARENT_SUPPLIER_674387,SUPPLIER_674387,,OTHER OUTSIDE SERVICES,Fatura brut. 1702,,Provision of services Engenews," 2,653.74 "
TRANS188656,PARENT_SUPPLIER_629099,SUPPLIER_629099,,PROFESSIONAL SERVICES - MARKET RESEARCH,,,RESEARCH," 10,360.00 "
TRANS210309,PARENT_SUPPLIER_503532,SUPPLIER_503532,,CRO - PROJECT MONITORING/ MANAGEMENT,ADC-US-PMS-17168-001 Site compensation,,," 16,135.00 "
TRANS336633,PARENT_SUPPLIER_294202,SUPPLIER_294202,,OTHER OUTSIDE SERVICES,LEGAL#1502261,,, 479.70 
TRANS624973,PARENT_SUPPLIER_823335,SUPPLIER_823335,,OTHER OUTSIDE SERVICES,LEGAL#1502260,,," 4,531.48 "
TRANS171143,PARENT_SUPPLIER_509290,SUPPLIER_509290,,OTHER OUTSIDE SERVICES,LEGAL#1502279,,, 267.43 
TRANS551955,PARENT_SUPPLIER_799604,SUPPLIER_799604,,PROFESSIONAL SERVICES - OTHER CONSULTING,Glycemic Guardian Webinar - Prep,,," 5,494.45 "
TRANS519534,PARENT_SUPPLIER_957566,SUPPLIER_957566,,ACCRUED WORKERS COMPENSATION,WC State of WA ARDx,,, 117.36 
TRANS291807,PARENT_SUPPLIER_668436,SUPPLIER_668436,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,"N403456    RING, PACKING, 44MM, FOR LEWA"," 1,184.00 "
TRANS237448,PARENT_SUPPLIER_590272,SUPPLIER_590272,,ACCRUED  USE TAX,,,IN Spec RP-4 Calibration Service, -4.54 
TRANS961426,PARENT_SUPPLIER_260004,SUPPLIER_260004,,ACCRUED  USE TAX,,,IN Spec RP-4 Calibration Service, -52.22 
TRANS881748,PARENT_SUPPLIER_548788,SUPPLIER_548788,,MAINTENANCE SERVICES PURCHASED,,,IN Spec RP-4 Calibration Service," 2,346.11 "
TRANS650257,PARENT_SUPPLIER_639166,SUPPLIER_639166,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VINYL - RTA (HXW) STANDARD, 50.00 
TRANS118884,PARENT_SUPPLIER_928151,SUPPLIER_928151,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VINYL - RTA (HXW) STANDARD, 50.00 
TRANS702971,PARENT_SUPPLIER_890341,SUPPLIER_890341,,OTHER OUTSIDE SERVICES,,,Painting Projects - Courage Building," 10,131.50 "
TRANS910171,PARENT_SUPPLIER_789288,SUPPLIER_789288,,ACCRUED  USE TAX,,,, -137.52 
TRANS867386,PARENT_SUPPLIER_932849,SUPPLIER_932849,,OTHER OUTSIDE SERVICES,,,ANHI Infographics," 6,179.38 "
TRANS104030,PARENT_SUPPLIER_892386,SUPPLIER_892386,,ACCRUED  USE TAX,,,DAT PO 2019, -0.09 
TRANS347175,PARENT_SUPPLIER_482292,SUPPLIER_482292,,ACCRUED  USE TAX,,,DAT PO 2019, -1.04 
TRANS449554,PARENT_SUPPLIER_238512,SUPPLIER_238512,,ACCRUED  USE TAX,,,, -0.09 
TRANS901535,PARENT_SUPPLIER_650606,SUPPLIER_650606,,PROMOTION EXPENSE,3010300 - D. Michel,,, 201.30 
TRANS566020,PARENT_SUPPLIER_431583,SUPPLIER_431583,,ACCTS PAYABLE,4503492835-Exp,,," 1,617.57 "
TRANS880453,PARENT_SUPPLIER_264206,SUPPLIER_264206,,ACCTS PAYABLE,AMK 2019Year end party dinner_Downpay70%,,," 8,256.00 "
TRANS231873,PARENT_SUPPLIER_417528,SUPPLIER_417528,,ACCTS PAYABLE,Meals & Transport Oct19,,, 134.27 
TRANS719291,PARENT_SUPPLIER_518665,SUPPLIER_518665,,ACCTS PAYABLE,4503268504-Exp_CDO-1909037,,, 60.77 
TRANS182452,PARENT_SUPPLIER_156026,SUPPLIER_156026,,ACCTS PAYABLE,Office Rental,,," 26,212.45 "
TRANS846672,PARENT_SUPPLIER_535481,SUPPLIER_535481,,ACCTS PAYABLE,Toll fee and Parking for Oct19,,, 40.92 
TRANS878168,PARENT_SUPPLIER_641803,SUPPLIER_641803,,ACCTS PAYABLE,Meals & Transport Oct19,,, 95.91 
TRANS501993,PARENT_SUPPLIER_824696,SUPPLIER_824696,,ACCTS PAYABLE,AMK 20191206Year end party gift_11employ,,, 946.00 
TRANS988618,PARENT_SUPPLIER_577474,SUPPLIER_577474,,ACCTS PAYABLE,Taxi Allowance for Oct19,,, 95.91 
TRANS161409,PARENT_SUPPLIER_483855,SUPPLIER_483855,,ACCTS PAYABLE,AMK 20191206Year end party gift_30employ,,," 2,038.20 "
TRANS346022,PARENT_SUPPLIER_635782,SUPPLIER_635782,,ACCTS PAYABLE,Transport Sep19,,, 45.53 
TRANS888321,PARENT_SUPPLIER_122526,SUPPLIER_122526,,ACCTS PAYABLE,plant management,,, 215.00 
TRANS648773,PARENT_SUPPLIER_289007,SUPPLIER_289007,,ACCTS PAYABLE,MitraClip Foundation Training Material_B,,," 3,350.22 "
TRANS496489,PARENT_SUPPLIER_343142,SUPPLIER_343142,,ACCTS PAYABLE,MR Offsite_27/9,,, 731.73 
TRANS273429,PARENT_SUPPLIER_327536,SUPPLIER_327536,,ACCTS PAYABLE,Fuji?Xerox,,, 12.30 
TRANS776474,PARENT_SUPPLIER_727552,SUPPLIER_727552,,ACCTS PAYABLE,Emsy,,," 1,167.00 "
TRANS334784,PARENT_SUPPLIER_334577,SUPPLIER_334577,,ACCTS PAYABLE,Itamae?Bento?Yunoshima?Hannosuke,,, 189.87 
TRANS785109,PARENT_SUPPLIER_246578,SUPPLIER_246578,,ACCTS PAYABLE,Shinji?Watanabe,,, 261.31 
TRANS943578,PARENT_SUPPLIER_275955,SUPPLIER_275955,,ACCTS PAYABLE,Mayumi?Tomikawa,,," 6,288.32 "
TRANS882036,PARENT_SUPPLIER_639621,SUPPLIER_639621,,ACCTS PAYABLE,Hikaru?Kobayashi,,, 40.31 
TRANS396567,PARENT_SUPPLIER_206999,SUPPLIER_206999,,ACCTS PAYABLE,Fukuyama-dori?Street,,, 8.42 
TRANS213961,PARENT_SUPPLIER_272593,SUPPLIER_272593,,ACCTS PAYABLE,Heart?&?Health,,," 7,151.78 "
TRANS427982,PARENT_SUPPLIER_322234,SUPPLIER_322234,,ACCTS PAYABLE,Ishigaki?Shimbun,,, 36.56 
TRANS377977,PARENT_SUPPLIER_432766,SUPPLIER_432766,,ACCTS PAYABLE,Hideo?Nakajima,,, 11.70 
TRANS413829,PARENT_SUPPLIER_697297,SUPPLIER_697297,,ACCTS PAYABLE,Soichi?TAKASE?(interview?transportation?expenses),,, 250.62 
TRANS778454,PARENT_SUPPLIER_175867,SUPPLIER_175867,,ACCTS PAYABLE,international?building?industry,,, 95.75 
TRANS690476,PARENT_SUPPLIER_743574,SUPPLIER_743574,,ACCTS PAYABLE,Fuji?Xerox,,, 268.50 
TRANS227189,PARENT_SUPPLIER_607400,SUPPLIER_607400,,ACCTS PAYABLE,Eipek?Holdings,,, 246.78 
TRANS864112,PARENT_SUPPLIER_851731,SUPPLIER_851731,,ACCTS PAYABLE,Sagawa?Express,,, 54.09 
TRANS114654,PARENT_SUPPLIER_406997,SUPPLIER_406997,,ACCTS PAYABLE,Joy?Tech,,, 438.72 
TRANS258329,PARENT_SUPPLIER_435584,SUPPLIER_435584,,ACCTS PAYABLE,Carwanishi,,, 804.32 
TRANS542293,PARENT_SUPPLIER_739177,SUPPLIER_739177,,ACCTS PAYABLE,Kanako?Matsuda,,," 1,596.30 "
TRANS871373,PARENT_SUPPLIER_660507,SUPPLIER_660507,,ACCTS PAYABLE,POSTAGE,,, 14.52 
