ID,FRAUD,DATE,POLICY_LENGTH,LOCALITY,REGION,GENDER,CLAIM_POLICY_DIFF_A,CLAIM_POLICY_DIFF_B,CLAIM_POLICY_DIFF_C,CLAIM_POLICY_DIFF_D,CLAIM_POLICY_DIFF_E,POLICY_CLAIM_DAY_DIFF,DISTINCT_PARTIES_ON_CLAIM,CLM_AFTER_RNWL,NOTIF_AFT_RENEWAL,CLM_DURING_CAX,COMPLAINT,CLM_before_PAYMENT,PROP_before_CLM,NCD_REC_before_CLM,NOTIF_DELAY,ACCIDENT_NIGHT,NUM_PI_CLAIM,NEW_VEHICLE_BEFORE_CLAIM,PERSONAL_INJURY_INDICATOR,CLAIM_TYPE_ACCIDENT,CLAIM_TYPE_FIRE,CLAIM_TYPE_MOTOR_THEFT,CLAIM_TYPE_OTHER,CLAIM_TYPE_WINDSCREEN,LOCAL_TEL_MATCH,LOCAL_M_CLM_ADD_MATCH,LOCAL_M_CLM_PERS_MATCH,LOCAL_NON_CLM_ADD_MATCH,LOCAL_NON_CLM_PERS_MATCH,federal_TEL_MATCH,federal_CLM_ADD_MATCH,federal_CLM_PERS_MATCH,federal_NON_CLM_ADD_MATCH,federal_NON_CLM_PERS_MATCH,SCR_LOCAL_RULE_COUNT,SCR_NAT_RULE_COUNT,RULE_MATCHES,CLAIM_DESCRIPTION
15,0,31/08/2014,6 month,OX3,OX,0,0,0,0,1,0,44.5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,without among each none system who many well vehicle right slow left school brakes mall not indicating stopped speed limit vehicle
16,0,31/08/2013,12 month,BB2,BB,0,0,0,1,0,0,32.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,two its was already in this somehow fify school carpark parking lot indicating roundabout caravan stopped fast vehicle emergency vehicle
17,0,31/01/2014,12 month,IP32,IP,0,0,0,0,0,1,179.5,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,though too full no take together a seem parking lot vehicle caravan windscreen not indicating indicating slow driving suddenly emergency whiplash
18,0,31/03/2014,12 month,LA14,LA,1,0,0,0,1,0,97.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,due describe hundred therefore became bottom others so vehicle fast brakes driving stopped right suddenly van car neck vehicle
19,1,,12 month,TR18,TR,1,0,0,1,0,0,35.0,12,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,under whence co only therefore eg no around sun parking lot motorbike school roundabout indicating car windscreen stopped speed limit whiplash
20,0,31/05/2014,12 month,FK10,FK,0,0,0,0,1,0,133.0,6,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,six whereupon please nothing interest noone often several slow stopped caravan brakes vehicle fast van indicating roundabout speed limit neck
21,0,31/08/2014,12 month,HU10,HU,0,0,0,0,1,0,129.5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,how seem sixty latterly keep her his serious left roundabout school slow fast parking lot driving car windscreen neck vehicle
22,0,31/01/2013,6 month,BS5,BS,1,0,0,0,1,0,80.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,these third other upon several wherein less thereafter left indicating right carpark windscreen suddenly caravan fast school emergency vehicle
23,0,31/07/2013,6 month,B36,B,1,0,1,0,0,0,19.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,across nothing above least nevertheless yours as six brakes left parking lot windscreen driving car vehicle carpark sun speed limit whiplash
24,0,31/10/2014,12 month,CM18,CM,0,0,0,0,1,0,49.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,became sometimes ever more against anywhere con in roundabout fast van driving indicating car mall sun parking lot whiplash neck
25,1,31/07/2013,12 month,OX27,OX,1,0,1,0,0,0,15.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,but over empty within must towards although except motorbike mall fast driving sun school caravan indicating vehicle whiplash speed limit
26,0,31/01/2013,12 month,ME13,ME,0,0,0,0,1,0,139.0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,former besides the side get from not become windscreen caravan vehicle indicating not indicating fast right suddenly brakes emergency speed limit
28,0,31/05/2013,12 month,CF31,CF,0,1,0,0,0,0,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amoungst also our be neither found her anyone stopped brakes motorbike fast parking lot van caravan indicating windscreen whiplash speed limit
30,0,31/10/2013,6 month,EX20,EX,1,0,0,0,1,0,80.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thence otherwise cry something for has couldnt thickv van indicating school suddenly motorbike driving right roundabout carpark neck whiplash
33,0,,6 month,B35,B,1,0,0,0,1,0,61.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,put the fill whoever sometime interest five whereby fast right van left sun parking lot slow driving brakes emergency neck
36,0,,6 month,NG17,NG,0,0,0,0,1,0,97.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,has is back than eg sixty down throughout mall caravan brakes van windscreen parking lot suddenly school driving neck vehicle
38,0,31/12/2013,12 month,PO4,PO,1,0,0,0,1,0,67.0,4,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,four fire the upon show all eight yours van mall motorbike car left windscreen suddenly indicating brakes whiplash speed limit
39,0,,9 month,CH6,CH,1,0,0,0,1,0,51.5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,own as out see or there while to van right parking lot windscreen stopped motorbike sun school mall emergency speed limit
41,0,,12 month,WV10,WV,0,0,0,0,0,1,174.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,these fire hundred ever seem well call them mall brakes motorbike indicating suddenly fast not indicating caravan slow vehicle speed limit
42,0,31/10/2014,12 month,SA14,SA,1,0,0,0,1,0,98.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,re nevertheless in either but while anyone beforehand brakes indicating carpark motorbike slow van caravan suddenly school whiplash neck
43,1,31/07/2013,12 month,N22,N,1,0,0,0,1,0,88.5,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,one every he moreover via hers down except suddenly mall windscreen left not indicating van slow car stopped vehicle whiplash
44,0,31/07/2014,6 month,CH45,CH,0,0,0,0,1,0,63.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,down the whatever can con beforehand such was vehicle left car motorbike school not indicating fast roundabout caravan vehicle neck
46,0,31/01/2014,6 month,NG20,NG,0,0,0,0,1,0,163.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,only without besides part alone becoming herself when school stopped windscreen right brakes driving motorbike sun carpark speed limit emergency
47,0,,12 month,WV10,WV,0,0,0,0,1,0,154.5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,an show wherein however others myself thru you not indicating windscreen sun fast roundabout driving caravan van left neck vehicle
48,0,31/05/2013,12 month,EH47,EH,1,0,0,0,1,0,79.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thereafter ten mostly onto once yourself next hers slow left windscreen brakes school fast right driving motorbike neck speed limit
49,0,31/08/2013,9 month,SG1,SG,0,0,0,0,1,0,48.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mostly de than through put there your none stopped left mall school car carpark roundabout fast right emergency speed limit
50,1,31/08/2013,12 month,BT23,BT,1,1,0,0,0,0,12.0,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,someone within now out through anything back seem brakes roundabout van indicating parking lot school left windscreen slow whiplash neck
52,0,31/01/2013,12 month,E5,E,0,1,0,0,0,0,14.0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,via anything these wherein someone ltd the on brakes parking lot right suddenly left motorbike school van carpark emergency neck
54,0,,12 month,FK7,FK,0,0,0,0,0,1,178.0,6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anywhere top then several sixty almost am any suddenly brakes not indicating van roundabout sun mall fast vehicle speed limit vehicle
55,0,,6 month,YO61,YO,0,0,0,0,0,1,176.0,4,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,most more wherever such front between behind itself left car van stopped carpark indicating slow brakes sun neck vehicle
56,0,,9 month,BA14,BA,0,0,0,0,1,0,102.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yet on ours latterly too further ourselves sometime stopped school suddenly left fast car slow right indicating whiplash emergency
57,0,31/10/2014,12 month,BR5,BR,1,0,0,0,1,0,99.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,them moreover un front from alone however as suddenly roundabout school right van not indicating left brakes stopped neck vehicle
58,0,31/12/2013,12 month,S26,S,0,0,0,0,1,0,78.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,back every then system about whereafter eg fill roundabout mall caravan stopped sun not indicating slow car carpark whiplash speed limit
59,0,31/03/2014,6 month,BH22,BH,1,0,0,0,1,0,148.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,however due his co by so throughout take right parking lot indicating not indicating windscreen car roundabout slow brakes vehicle neck
60,0,,12 month,LL16,LL,1,0,0,0,1,0,102.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moreover beforehand former two another forty eg others sun indicating left brakes school parking lot windscreen motorbike caravan whiplash vehicle
62,0,31/10/2013,6 month,IV30,IV,0,0,0,0,1,0,116.5,6,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,about namely therein wherein were since thin he driving caravan sun suddenly slow not indicating vehicle indicating right neck vehicle
63,0,,12 month,BT48,BT,1,0,0,0,1,0,96.5,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eight however so down when together beforehand seems parking lot car carpark caravan school stopped sun suddenly indicating emergency whiplash
68,0,31/12/2013,12 month,PE24,PE,0,0,0,0,0,1,177.5,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nothing again in while due etc whose at motorbike suddenly car caravan driving carpark sun stopped roundabout emergency speed limit
70,0,,6 month,SA3,SA,0,0,0,1,0,0,35.5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,four keep also move latterly eight nor would driving indicating right brakes vehicle left mall roundabout stopped emergency speed limit
71,0,,12 month,LS15,LS,0,0,0,0,1,0,156.5,15,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,hence below very whom eleven an first may brakes slow sun suddenly van stopped carpark school caravan whiplash neck
72,0,31/03/2013,12 month,BB1,BB,0,0,1,0,0,0,18.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enough some if inc third two none every vehicle indicating fast left driving caravan stopped sun suddenly neck vehicle
73,0,31/08/2014,6 month,BD13,BD,1,0,1,0,0,0,19.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,least because take an mine forty anyway four not indicating fast motorbike carpark left driving car stopped windscreen neck vehicle
74,0,,12 month,TA8,TA,0,0,0,0,1,0,111.0,7,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,con sincere indeed everything would system everyone least carpark indicating motorbike stopped parking lot slow sun windscreen left emergency speed limit
75,0,,12 month,BT80,BT,1,0,0,0,1,0,161.5,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,they hereafter same four other perhaps because ten vehicle left brakes not indicating windscreen right indicating stopped carpark vehicle speed limit
76,0,,12 month,CM1,CM,1,0,0,0,0,1,174.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ourselves whereby is else hers ever everything themselves mall sun vehicle left roundabout brakes motorbike driving school vehicle speed limit
78,0,,6 month,PA3,PA,0,0,1,0,0,0,23.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found should not if of him almost myself parking lot indicating roundabout carpark vehicle brakes slow windscreen school neck whiplash
79,0,31/12/2013,9 month,DN4,DN,0,0,0,0,1,0,105.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,made each sometime except together of which other parking lot school indicating brakes left windscreen driving stopped vehicle neck speed limit
80,0,,12 month,MK6,MK,1,0,0,0,1,0,134.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor her most upon would also keep some sun caravan vehicle brakes indicating mall school carpark not indicating whiplash speed limit
81,0,,6 month,LS13,LS,0,0,0,0,1,0,165.5,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,off nowhere yet been or less up something windscreen driving indicating car suddenly mall parking lot vehicle brakes neck speed limit
82,0,,12 month,AB24,AB,0,0,0,0,1,0,107.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,move above whereafter into third latterly thin this right brakes school stopped windscreen not indicating motorbike mall carpark whiplash emergency
83,1,31/10/2013,9 month,SA14,SA,1,0,0,0,1,0,108.0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,whereas namely meanwhile somewhere nowhere hereafter mill name van stopped parking lot right vehicle suddenly driving roundabout brakes whiplash neck
84,0,31/10/2013,6 month,BT49,BT,1,0,0,0,1,0,164.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,found without down he whereby or third moreover not indicating windscreen school vehicle carpark brakes sun roundabout van speed limit emergency
85,0,31/03/2014,12 month,AL7,AL,0,0,0,0,1,0,101.0,5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,move anyone same ie beside too hereby empty slow parking lot sun indicating suddenly roundabout van fast brakes vehicle speed limit
89,0,,6 month,M16,M,1,0,0,0,1,0,132.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,please fify another amongst next am even hence sun mall right stopped indicating roundabout parking lot carpark vehicle vehicle whiplash
90,0,,12 month,SY8,SY,1,1,0,0,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none ten whose within eleven from there whoever slow motorbike stopped caravan sun windscreen left indicating mall emergency speed limit
91,0,31/08/2013,12 month,CR5,CR,0,0,0,0,1,0,96.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,then enough he those across fifteen first else school carpark mall left driving stopped not indicating motorbike fast emergency vehicle
93,0,31/01/2014,12 month,NP20,NP,1,0,0,0,1,0,148.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nowhere five show co least eight of due mall van car suddenly not indicating slow fast left windscreen vehicle neck
94,0,,6 month,NR23,NR,1,0,0,0,1,0,167.0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,should other about meanwhile get made may back sun caravan slow suddenly left brakes mall roundabout parking lot whiplash vehicle
95,0,,6 month,AB51,AB,0,0,0,1,0,0,43.0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,am none not here bill whom above after indicating mall slow suddenly vehicle left caravan stopped motorbike neck vehicle
97,0,31/12/2013,12 month,WS12,WS,0,0,0,0,1,0,144.5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,here else then whose although after out front vehicle sun suddenly not indicating mall windscreen van carpark parking lot speed limit whiplash
98,0,,12 month,CF83,CF,0,0,0,0,0,1,180.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,only else the themselves wherein herself one anyone van caravan parking lot left brakes not indicating sun fast stopped whiplash vehicle
99,1,31/07/2013,9 month,WN6,WN,1,0,0,1,0,0,38.5,6,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,full which show such see since nobody should not indicating right mall carpark caravan car driving suddenly parking lot whiplash vehicle
100,0,31/07/2014,6 month,SE13,SE,0,0,0,0,1,0,165.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hasnt towards please an thereby whereas twelve side parking lot right car suddenly brakes fast vehicle left indicating speed limit vehicle
101,0,31/08/2014,12 month,IV17,IV,0,0,0,0,1,0,89.0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,could below eleven back that ie behind among vehicle brakes van suddenly right school windscreen not indicating mall speed limit neck
102,0,31/01/2013,6 month,HG4,HG,0,0,0,0,1,0,44.5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,another himself describe nothing front detail for eight mall left indicating car not indicating windscreen school motorbike driving emergency speed limit
103,0,31/12/2013,12 month,CO9,CO,0,0,0,0,1,0,54.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,there four yours meanwhile she perhaps these them suddenly driving fast school brakes caravan car mall right speed limit emergency
104,0,31/01/2014,6 month,PL5,PL,0,0,0,0,1,0,164.5,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,latterly others as here someone becoming the so van suddenly parking lot driving mall school vehicle stopped car whiplash emergency
106,0,31/07/2013,6 month,WA9,WA,0,0,0,0,0,1,173.5,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,herself why whenever against at my ours third not indicating suddenly van stopped motorbike right fast windscreen slow vehicle emergency
107,0,,12 month,CW5,CW,0,0,0,0,1,0,55.5,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,is bottom thin my yourselves per him himself caravan mall fast car suddenly brakes roundabout not indicating slow whiplash speed limit
108,0,31/05/2013,12 month,CH45,CH,1,0,0,0,1,0,158.5,5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,never former either show seemed yourself yourselves about not indicating fast sun van brakes car windscreen indicating right speed limit emergency
110,0,31/10/2013,9 month,WN4,WN,0,0,0,0,0,1,176.0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,all others ie every whose any from above slow parking lot suddenly motorbike stopped school carpark windscreen sun vehicle emergency
111,1,31/01/2013,12 month,LE10,LE,0,0,0,0,1,0,104.5,11,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,thin even along thereby their keep detail seem fast car slow brakes roundabout sun indicating driving vehicle emergency whiplash
112,0,31/12/2013,6 month,LS12,LS,0,0,0,0,1,0,108.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bottom our six yours often none everyone off van windscreen parking lot not indicating slow indicating caravan right sun emergency neck
113,1,,9 month,NG31,NG,1,1,0,0,0,0,3.5,6,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,an get seemed sometime part until others from parking lot car sun windscreen vehicle roundabout school left right neck speed limit
114,0,,12 month,BH15,BH,0,1,0,0,0,0,9.0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never very being already under whereas afterwards have car left carpark sun caravan right parking lot roundabout fast whiplash neck
116,1,31/03/2013,9 month,FK10,FK,1,0,0,0,1,0,145.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,about keep be hereby himself cry within five left slow mall roundabout carpark not indicating motorbike windscreen van neck whiplash
117,0,31/05/2013,6 month,WF9,WF,0,1,0,0,0,0,3.0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,beyond beforehand somewhere twenty rather becoming throughout hasnt carpark car right vehicle roundabout windscreen parking lot caravan mall vehicle speed limit
118,0,31/01/2014,9 month,N10,N,0,0,0,0,1,0,155.5,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,whereafter namely seeming whereby un wherever hence thereupon fast windscreen stopped indicating school car motorbike parking lot van whiplash emergency
