Incident Number,Incident Created Date,Configuration
IM30281700,9/7/2020,Application
IM30282141,9/7/2020,Switch
IM30282496,9/7/2020,Application Instance
IM30282558,9/7/2020,Router
IM30282559,9/7/2020,Router
IM30282638,9/7/2020,Server
IM30282753,9/7/2020,Router
IM30283298,9/7/2020,Switch
IM30283311,9/7/2020,Switch
IM30283312,9/7/2020,Switch
IM30283610,9/7/2020,Application
IM30283773,9/7/2020,Application
IM30283849,9/7/2020,Server
IM30283870,9/7/2020,Wireless Access Point
IM30283872,9/7/2020,Incident Collector
IM30283879,9/7/2020,Incident Collector
IM30283880,9/7/2020,Server
IM30283948,9/7/2020,Incident Collector
IM30284104,9/7/2020,Switch
IM30284114,9/7/2020,Switch
IM30284318,9/7/2020,Incident Collector
IM30284749,9/7/2020,Wireless Access Point
IM30285110,9/7/2020,Router
IM30285111,9/7/2020,Application Instance
IM30285871,9/7/2020,Server
IM30285878,9/7/2020,Wireless Access Point
IM30286013,9/7/2020,Application
IM30286413,9/8/2020,Switch
IM30286872,9/8/2020,Wireless Access Point
IM30287345,9/8/2020,Application
IM30287353,9/8/2020,Switch
IM30287354,9/8/2020,Router
IM30287356,9/8/2020,Infrastructure Application
IM30287360,9/8/2020,Infrastructure Application
IM30287361,9/8/2020,Router
IM30287368,9/8/2020,Switch
IM30287550,9/8/2020,Router
IM30287621,9/8/2020,Router
IM30287753,9/8/2020,Switch
IM30287758,9/8/2020,Switch
IM30287759,9/8/2020,Switch
IM30287890,9/8/2020,Switch
IM30288083,9/8/2020,Firewall
IM30288098,9/8/2020,Router
IM30288102,9/8/2020,Switch
IM30288107,9/8/2020,Router
IM30288110,9/8/2020,Router
IM30288145,9/8/2020,Switch
IM30288247,9/8/2020,Router
IM30288248,9/8/2020,Switch
IM30288249,9/8/2020,Router
IM30288250,9/8/2020,Router
IM30288251,9/8/2020,Router
IM30288425,9/8/2020,Switch
IM30288684,9/8/2020,Voice Gateway
IM30288918,9/8/2020,Application
IM30289153,9/8/2020,Application
IM30289262,9/8/2020,Application
IM30289274,9/8/2020,Incident Collector
IM30289354,9/8/2020,Incident Collector
IM30289455,9/8/2020,Application
IM30289548,9/8/2020,Switch
IM30289609,9/8/2020,Application
IM30289796,9/8/2020,Application
IM30290060,9/8/2020,Server
IM30290109,9/8/2020,Switch
IM30290120,9/8/2020,Switch
IM30290127,9/8/2020,Switch
IM30290128,9/8/2020,Switch
IM30290336,9/8/2020,Application
IM30290365,9/8/2020,Intrusion Detection System
IM30290366,9/8/2020,Router
IM30290413,9/8/2020,Application
IM30290624,9/8/2020,Application
IM30290876,9/8/2020,Switch
IM30290897,9/8/2020,Application
IM30290912,9/8/2020,Switch
IM30291070,9/8/2020,Intrusion Detection System
IM30291091,9/8/2020,Server
IM30291117,9/8/2020,Application
IM30291119,9/8/2020,Application
IM30291124,9/8/2020,Application
IM30291128,9/8/2020,Application
IM30291129,9/8/2020,Application
IM30291138,9/8/2020,Server
IM30291144,9/8/2020,Server
IM30291152,9/8/2020,Voice Gateway
IM30291154,9/8/2020,Switch
IM30291186,9/8/2020,Router
IM30291224,9/8/2020,Application
IM30291327,9/8/2020,Incident Collector
IM30291364,9/8/2020,Application Instance
IM30291372,9/8/2020,Application Instance
IM30291374,9/8/2020,Router
IM30291464,9/8/2020,Switch
IM30291477,9/8/2020,Server
IM30291568,9/8/2020,Switch
IM30291681,9/8/2020,Application
IM30291730,9/8/2020,Application
IM30291731,9/8/2020,Application
IM30291810,9/8/2020,Application
IM30291812,9/8/2020,Application
IM30291848,9/8/2020,Application
IM30291858,9/8/2020,Application
IM30291860,9/8/2020,Application
IM30291974,9/8/2020,Router
IM30292017,9/8/2020,Application
IM30292049,9/8/2020,Incident Collector
IM30292080,9/8/2020,Application
IM30288150,9/8/2020,Firewall
IM30288789,9/8/2020,Incident Collector
IM30289526,9/8/2020,Router
IM30289721,9/8/2020,Application
IM30291086,9/8/2020,Server
IM30292410,9/8/2020,Switch
IM30292411,9/8/2020,Switch
IM30292412,9/8/2020,Switch
IM30290870,9/8/2020,Server
IM30292329,9/8/2020,Router
